id,dep_fio,fractions,dep_link,frac_link
37,Жолдошбаев Камчыбек Жолдошбаевич,Парламентская фракция «Онугуу-Прогресс»,http://kenesh.kg/ru/deputy/show/45/zholdoshbaev-kamchibek-zholdoshbaevich,http://kenesh.kg/ru/fraction/4/show/parlamentskaya-fraktsiya-onuguu-progress
38,Жоробеков Тариел Улукбекович,Парламентская фракция «Республика - Ата Журт»,http://kenesh.kg/ru/deputy/show/166/zhorobekov-tariel-ulukbekovich,http://kenesh.kg/ru/fraction/2/show/parlamentskaya-fraktsiya-respublika-ata-zhurt
39,Жунус уулу Адыл,Парламентская фракция «Республика - Ата Журт»,http://kenesh.kg/ru/deputy/show/78/zhunus-uulu-adil,http://kenesh.kg/ru/fraction/2/show/parlamentskaya-fraktsiya-respublika-ata-zhurt
40,Жутанов Алмаз Токтоназарович,Парламентская фракция «Онугуу-Прогресс»,http://kenesh.kg/ru/deputy/show/47/zhutanov-almaz-toktonazarovich,http://kenesh.kg/ru/fraction/4/show/parlamentskaya-fraktsiya-onuguu-progress
41,Жээнбеков Асылбек Шарипович,Парламентская фракция СДПК,http://kenesh.kg/ru/deputy/show/17/zheenbekov-asilbek-sharipovich,http://kenesh.kg/ru/fraction/1/show/parlamentskaya-fraktsiya-sdpk
42,Зулпукаров Төрөбай Закирович,Парламентская фракция СДПК,http://kenesh.kg/ru/deputy/show/18/zulpukarov-torobay-zakirovich,http://kenesh.kg/ru/fraction/1/show/parlamentskaya-fraktsiya-sdpk
43,Ибраев Саматбек Кулукеевич,Парламентская фракция СДПК,http://kenesh.kg/ru/deputy/show/175/ibraev-samatbek-kulukeevich,http://kenesh.kg/ru/fraction/1/show/parlamentskaya-fraktsiya-sdpk
44,Икрамов Тазабек Икрамович,Парламентская фракция «Онугуу-Прогресс»,http://kenesh.kg/ru/deputy/show/48/ikramov-tazabek-ikramovich,http://kenesh.kg/ru/fraction/4/show/parlamentskaya-fraktsiya-onuguu-progress
45,Иманалиев Каныбек Капашович,Парламентская фракция «Ата Мекен»,http://kenesh.kg/ru/deputy/show/82/imanaliev-kanibek-kapashovich,http://kenesh.kg/ru/fraction/6/show/parlamentskaya-fraktsiya-ata-meken
46,Исаева Динара Шертаевна,Парламентская фракция «Республика - Ата Журт»,http://kenesh.kg/ru/deputy/show/89/isaeva-dinara-shertaevna,http://kenesh.kg/ru/fraction/2/show/parlamentskaya-fraktsiya-respublika-ata-zhurt
47,Исаев Канатбек Кедейканович,Парламентская фракция «Кыргызстан»,http://kenesh.kg/ru/deputy/show/120/isaev-kanatbek-kedeykanovich,http://kenesh.kg/ru/fraction/3/show/parlamentskaya-fraktsiya-kirgizstan
48,Исмаилов Уланбек Чекишевич,Парламентская фракция «Онугуу-Прогресс»,http://kenesh.kg/ru/deputy/show/187/ismailov-ulanbek-chekishevich,http://kenesh.kg/ru/fraction/4/show/parlamentskaya-fraktsiya-onuguu-progress
49,Исманов Самат Жекшеналиевич,Парламентская фракция «Республика - Ата Журт»,http://kenesh.kg/ru/deputy/show/183/ismanov-samat-zhekshenalievich,http://kenesh.kg/ru/fraction/2/show/parlamentskaya-fraktsiya-respublika-ata-zhurt
50,Карамушкина Ирина Юрьевна,Парламентская фракция СДПК,http://kenesh.kg/ru/deputy/show/127/karamushkina-irina-yuryevna,http://kenesh.kg/ru/fraction/1/show/parlamentskaya-fraktsiya-sdpk
51,Карашев Аалы Азимович,Парламентская фракция СДПК,http://kenesh.kg/ru/deputy/show/136/karashev-aali-azimovich,http://kenesh.kg/ru/fraction/1/show/parlamentskaya-fraktsiya-sdpk
52,Каримов Нодирбек Тохтосинович,Парламентская фракция СДПК,http://kenesh.kg/ru/deputy/show/21/karimov-nodirbek-tohtosinovich,http://kenesh.kg/ru/fraction/1/show/parlamentskaya-fraktsiya-sdpk
53,Карыбеков Арзыбек Кенжекулович,Парламентская фракция «Республика - Ата Журт»,http://kenesh.kg/ru/deputy/show/191/karibekov-arzibek-kenzhekulovich,http://kenesh.kg/ru/fraction/2/show/parlamentskaya-fraktsiya-respublika-ata-zhurt
54,Касымалиева  Аида Камчыбековна,Парламентская фракция СДПК,http://kenesh.kg/ru/deputy/show/141/kasimalieva-aida-kamchibekovna,http://kenesh.kg/ru/fraction/1/show/parlamentskaya-fraktsiya-sdpk
55,Келдибаев Сагындык Аширалиевич,Парламентская фракция «Республика - Ата Журт»,http://kenesh.kg/ru/deputy/show/162/keldibaev-sagindik-ashiralievich,http://kenesh.kg/ru/fraction/2/show/parlamentskaya-fraktsiya-respublika-ata-zhurt
